1942sgm "1942 (SGM) (HB)"
1on1 "One on One"
2010 "2010: The Graphic Action Game"
2010p "2010: The Graphic Action Game (Prototype v54)"
2010p1 "2010: The Graphic Action Game (Prototype v44)"
421 "421 (HB)"
advisland "Adventure Island (SGM) (HB)"
ae "A.E.:Anti-Environment Encounter (HB)"
aerial "Aerial (HB)"
alcazar "Alcazar: The Forgotten Fortress"
alpharoid "Alpharoid (SGM) (HB)"
alphazoo "Alphabet Zoo"
amazing "Amazing Bumpman"
antarct "Antarctic Adventure"
antiair "AntiAir (HB)"
apshai "Gateway to Apshai"
aquatack "Aquattack"
aquatacka "Aquattack (Alt)"
arabian "Arabian (HB)"
arkadion "Arkadion (HB)"
arkanoid "Arkanoid (SGM) (HB)"
armagedn "Armageddon (HB)"
arnodash "Arno Dash (HB)"
artduel "Artillery Duel"
ascend "Ascend (HB)"
asteroids "Asteroids (SGM) (HB)"
astorm "Astrostorm (HB)"
astrododge "Astro Dodge (HB)"
astroinv "Astro Invader (HB)"
aztecchal "Aztec Challenge (HB)"
bagman "Bagman (HB)"
bankbuild "Bankruptcy Builder (HB)"
bankpanic "Bank Panic (HB)"
bbears "Berenstain Bears, The (Prototype)"
bcquest "BC's Quest for Tires"
bcquest2 "BC's Quest for Tires II: Grog's Revenge"
bcquest2ca "BC's Quest for Tires II: Grog's Revenge (Alt)"
bdash "Boulder Dash"
beamridr "Beamrider"
bejeweled "Bejeweled (HB)"
berzerk "Berzerk (HB)"
blackonyx "Black Onyx, The (HB)"
blockrun "Blockade Runner"
bnj "Bump 'n' Jump"
bofhoth "Battle of Hoth (HB)"
boggy84 "Boggy '84 (SGM) (HB)"
bombjack "Bomb Jack (HB)"
bomblast "Bomb'n Blast (HB)"
bomblast2 "Bomb'n Blast 2 (HB)"
boomingboy "Booming Boy (SGM) (HB)"
boothill "Boot Hill (HB)"
bosconian "Bosconian (SGM) (HB)"
boxxle "Boxxle (HB)"
brainstr "Brain Strainers"
breakout "Breakout (HB)"
brubber "Burn Rubber (HB)"
btime "Burgertime"
btimem "Burgertime (Prototype)"
buckrog "Buck Rogers: Planet of Zoom"
buckrogsgm "Buck Rogers Super Game (SGM) (HB)"
bugsbots "Bugs'n Bots (HB)"
cabbage "Cabbage Patch Kids: Adventure in the Park"
cabbagep1 "Cabbage Patch Kids: Adventure in the Park (Prototype)"
cabbagep2 "Cabbage Patch Kids: Adventure in the Park (Prototype, Alt)"
cabbshow "Cabbage Patch Kids Picture Show"
cacorm "Cacorm (HB)"
camknights "Camelot Knights (HB)"
campaign "Campaign '84"
canamini "Canadian Minigames (HB)"
