10yardfight "10-Yard Fight (USA)"
1942 "1942 (Japan, USA)"
1942c "1942 (Hack, Chinese)"
1943 "1943 - The Battle of Midway (USA)"
1943j "1943 - The Battle of Valhalla (Japan)"
1991dumarac "1991 Du Ma Racing (Unl)"
2010 "2010 - Street Fighter (Japan)"
2048 "2048 (HB)"
3dbatworru "3-D Battles of World Runner, The (USA)"
3dblock "3D Block (Unl)"
5star "5-star Restaurant (HB)"
720degrees "720 Degrees (USA)"
8bitmusic "8-bit Music Power (HB)"
8bitmusice "8-bit Music Power ENCORE (HB)"
8bitpics "8-bit Illustrations (HB)"
8bitrhylan "8-Bit Rhythm Land (HB)"
8bitxmas17 "8-bit XMAS 2017 (HB)"
8bitxmas18 "8-bit XMAS 2018 (HB)"
8bitxmas19 "8-bit XMAS 2019 (HB)"
8bitxmas20 "8-bit XMAS 2020 (HB)"
8bitxmas21 "8-bit XMAS 2021 (HB)"
8bitxmas22 "8-bit XMAS 2022 (HB)"
8eyes "8 Eyes (USA)"
8eyesj "8 Eye's (Japan)"
abadox "Abadox: The Deadly Inner War (USA)"
abadoxj "Abadox: Jigoku no Inner Wars (Japan)"
abatengu "Abarenbou Tengu (Japan)"
actio53vol1stbu "Action 53 vol.1: Streemerz Bundle + Compo 2011 (HB)"
actio53vol2doac "Action 53 vol.2: Double Action + Compo Games (HB)"
actio53vol3retw "Action 53 vol.3: Revenge of the Twins + Compo Games (HB)"
actio53vol4act54 "Action 53 vol.4: Actually 54 - Compo 2017-18 (HB)"
actioinnewyor "Action in New York (Euro)"
action52 "Action 52 (USA)"
adameve "Adam & Eve (Unl)"
addamfam "Addams Family, The (USA)"
addamfamc "Addams Family, The (Hack, Spanish)"
addamfampugsschu "Addams Family, The - Pugsley's Scavenger Hunt (USA)"
addamfampugsschuc "Addams Family, The - Pugsley's Scavenger Hunt (Hack, Spanish v1.1)"
advdddf "Advanced Dungeons & Dragons - Dragons of Flame (Hack, English v1.03)"
advdddfj "Advanced Dungeons & Dragons - Dragons of Flame (Japan)"
advdddfs "Advanced Dungeons & Dragons - Dragons of Flame (Hack, Spanish)"
advddds "Advanced Dungeons & Dragons - Dragon Strike (USA)"
advdddsc "Advanced Dungeons & Dragons - Dragon Strike (Hack, Spanish)"
advddhl "Advanced Dungeons & Dragons - Heroes of the Lance (USA)"
advddhlc "Advanced Dungeons & Dragons - Heroes of the Lance (Hack, Spanish)"
advddhllfr "Advanced Dungeons & Dragons - Hillsfar (USA)"
advddpor "Advanced Dungeons & Dragons - Pool of Radiance (USA)"
advenbaybil "Adventures of Bayou Billy, The (USA)"
advendinrik "Adventures of Dino Riki (USA)"
advengilsisl "Adventures of Gilligan's Island, The (USA)"
adveninmagkin "Adventures in the Magic Kingdom (USA)"
advenisl3 "Adventure Island 3 (USA)"
advenisl3c "Adventure Island 3 (Hack, Spanish v1.1)"
advenislii "Adventure Island II (USA)"
advenisliic "Adventure Island II (Hack, Spanish)"
advenisliiu "Adventure Island II (USA, Prototype)"
advenisliv "Adventure Island IV (Hack, English)"
advenislivc "Adventure Island IV (Hack, Spanish)"
advenlol "Adventures of Lolo (USA)"
advenlol2 "Adventures of Lolo 2 (USA)"
advenlol3 "Adventures of Lolo 3 (USA)"
advenradgra "Adventures of Rad Gravity, The (USA)"
advenrocandbulandfr "Adventures of Rocky and Bullwinkle and Friends, The (USA)"
adventomsaw "Adventures of Tom Sawyer (USA)"
adventureisland "Adventure Island (USA)"
adventureislandc "Adventure Island (Hack, Spanish v2.0)"
advpanzer "Adventures of Panzer, The (HB, v1.5)"
advpanzer2 "Adventures of Panzer II, The (HB, v1.1)"
advpanzer3 "Adventures of Panzer 3, The (HB, v1.1)"
