1943kai "1943 Kai (Japan)"
21emon "21 Emon - Mezase Hotel ou!! (Japan)"
aburner2 "After Burner II (Japan)"
acrush "Alien Crush (Japan)"
advislnd "Adventure Island (Japan)"
aeroblst "Aero Blasters (Japan)"
alice "Fushigi no Yume no Alice (Japan)"
ankoku "Ankoku Densetsu (Japan)"
aoiblink "Aoi Blink (Japan)"
aoiblinke "Blue Blink (Hack, English v0.99b)"
appgateb "Appare! Gateball (Japan)"
armedf "Armed Formation F (Japan)"
arttool "Artist Tool (Japan)"
atlantean "Atlantean (HB)"
atomrobo "Atomic Robo-kid Special (Japan)"
avpoker "AV Poker (Japan)"
baibai "Tsuru Teruhito no Jissen Kabushiki Bai Bai Game (Japan)"
ballistx "Ballistix (Japan)"
barbarian "Barbarian (HB)"
baribari "Bari Bari Densetsu (Japan)"
barunba "Barunba (Japan)"
batloder "Battle Lode Runner (Japan)"
batman "Batman (Japan)"
beball "Be Ball (Japan)"
benkei "Benkei Gaiden (Japan)"
benkei1 "Benkei Gaiden (Japan, Alt)"
bikkuri "Bikkuriman World (Japan)"
bikkuri1 "Bikkuriman World (Japan, Alt)"
blodia "Blodia (Japan)"
blodwolf "Narazumono Sentai Butai - Bloody Wolf (Japan)"
bodycon2 "Body Conquest II (Japan)"
bombman "Bomberman (Japan)"
bombmn93 "Bomberman '93 (Japan)"
bombmn93s "Bomberman '93 - Special Version (Japan)"
bombmn94 "Bomberman '94 (Japan)"
bombmnub "Bomberman - Users Battle (Japan)"
bravoman "Chouzetsu Rinjin - Bravoman (Japan)"
bravomane "Chouzetsu Rinjin - Bravoman (Hack, English)"
breakin "Break In (Japan)"
bubblegm "Bubblegum Crash! - Knight Sabers 2034 (Japan)"
bubblegme "Bubblegum Crash! - Knight Sabers 2034 (Hack, English)"
bughunt "Bug Hunt (HB)"
bullfght "Bull Fight: Ring no Haja (Japan)"
burnangl "Burning Angels (Japan)"
cadash "Cadash (Japan)"
cdsys "cdsys"
cdsysa "cdsysa"
cdsysb "cdsysb"
champwrs "Champion Wrestler (Japan)"
chasehq "Taito Chase H.Q. (Japan)"
chibim "Chibi Maruko Chan - Quiz de Piihyara (Japan)"
chikuden "Chikudenya Toubei - Kubikiri Yakata Yori (Japan)"
chikuden1 "Chikudenya Toubei - Kubikiri Yakata Yori (Japan, Alt)"
chukatai "Gokuraku! Chuka Taisen (Japan)"
circusld "Circus Lido (Japan)"
cityhunt "City Hunter (Japan)"
cityhunte "City Hunter (Hack, English v1.1)"
columns "Columns (Japan)"
coryoon "Coryoon: Child of Dragon (Japan)"
coryoon1 "Coryoon: Child of Dragon (Japan, Alt)"
cputest "cputest"
cyberdod "Cyber Dodge (Japan)"
cyberx "Busou Keiji: Cyber Cross (Japan)"
cybrcore "Cyber Core (Japan)"
cyknight "Cyber Knight (Japan)"
daisenpu "Dai Senpu (Japan)"
dariusa "Darius Alpha (Japan)"
dariusp "Darius Plus (Japan)"
ddanpei "Honoo no Toukyuuji - Dodge Danpei (Japan)"
ddungw "Double Dungeons - W (Japan)"
deadmoon "Dead Moon - Tsuki Sekai no Akumu (Japan)"
deepblue "Deep Blue - Kaitei Shinwa (Japan)"
devlcrsh "Devil Crash - Naxat Pinball (Japan)"
diehard "Die Hard (Japan)"
digichmp "Digital Champ (Japan)"
dinoforce "Dinoforce (Japan)"
donaturl "Daichi Kun Crisis - Do Natural (Japan)"
dondoko "Don Doko Don! (Japan)"
dorams "Doraemon: Meikyuu Dai Sakusen (Japan)"
dorandn "Doraemon: Nobita no Dorabian Night (Japan)"
download "Download (Japan)"
download1 "Download (Japan, Alt)"
dragnegg "Dragon Egg! (Japan)"
dragnegge "Dragon Egg! (Hack, English)"
droprock "Drop Rock Hora Hora (Japan)"
droprock1 "Drop Rock Hora Hora (Japan, Alt)"
druaga "Tower of Druaga, The (Japan)"
druagae "Tower of Druaga, The (Hack, English v1.01)"
dsaber "Dragon Saber: After Story of Dragon Spirit (Japan)"
dsaber1 "Dragon Saber: After Story of Dragon Spirit (Japan, Alt)"
dspirit "Dragon Spirit (Japan)"
dungexpl "Dungeon Explorer (Japan)"
energy "Energy (Japan)"
etercity "Toshi Tensou Keikaku - Eternal City (Japan)"
f1circ91 "F1 Circus '91: World Championship (Japan)"
f1circ92 "F1 Circus '92: The Speed of Sound (Japan)"
f1circus "F1 Circus (Japan)"
f1circus1 "F1 Circus (Japan, Alt)"
f1dream "F-1 Dream (Japan)"
f1pilot "F-1 Pilot: You're King of Kings (Japan)"
f1tb "F1 Triple Battle (Japan)"
fantzone "Fantasy Zone (Japan)"
fantzonemini "Fantasy Zone (PC-Engine Mini Ed.)"
fightrun "Fighting Run (Japan)"
finallap "Final Lap Twin (Japan)"
finalmt "Final Match Tennis (Japan)"
finalmtladies "Final Match Tennis - Ladies (Super CD-Rom Hack)"
finalsol "Final Soldier (Japan)"
finalsols "Final Soldier - Special Version (Japan)"
finlblst "Final Blaster (Japan)"
fireprow "Fire Pro Wrestling - Combination Tag (Japan)"
fireprw2 "Fire Pro Wrestling 2 - 2nd Bout (Japan)"
fireprw3 "Fire Pro Wrestling 3 - Legend Bout (Japan)"
fsoccer "Formation Soccer - On J. League (Japan)"
fsoccr90 "Formation Soccer - Human Cup '90 (Japan)"
gaiamons "Gaia no Monshou (Japan)"
gaiflame "Gai Flame (Japan)"
gaiflamee "Gai Flame (Hack, English v0.98)"
galaga88 "Galaga '88 (Japan)"
ganbgolf "Ganbare! Golf Boys (Japan)"
gecd "gecd"
gekisboy "Gekisha Boy (Japan)"
genjitsu "Genji Tsuushin Agedama (Japan)"
genpei "Genpei Toumaden (Japan)"
genpemak "Genpei Toumaden ni no Maki (Japan)"
gomola "Gomola Speed (Japan)"
gradius "Gradius (Japan)"
gradiusmini "Gradius (PC-Engine Mini Ed.)"
gunhed "GunHed (Japan)"
gunhedfx "GunHed FX1 (Hack)"
gunhedht "GunHed: Hudson GunHed Taikai (Japan)"
hanataka "Hana Taaka Daka!? (Japan)"
haniirod "Hanii on the Road (Japan)"
haniisky "Hanii in the Sky (Japan)"
haniiskye "Honey in the Sky (Hack, English + 3-button controller)"
hatris "Hatris (Japan)"
hitice "Hit the Ice - VHL The Official Video Hockey League (Japan)"
huzero "HuZERO - Caravan Edition (HB)"
hvyunit "Heavy Unit (Japan)"
idolhana "Idol Hanafuda Fan Club (Japan)"
imagefgt "Image Fight (Japan)"
jchan "Jackie Chan (Japan)"
jigomegu "Jigoku Meguri (Japan)"
jinmu "Jinmu Denshou (Japan)"
jinmu1 "Jinmu Denshou (Japan, Alt)"
jleag11 "J. League Greatest Eleven (Japan)"
juuouki "Juuouki (Japan)"
juuouki1 "Juuouki (Japan, Alt)"
katochan "Kato Chan & Ken Chan (Japan)"
kattobi "Kattobi! Takuhai Kun (Japan)"
kickball "Kickball (Japan)"
kikikai "Kiki KaiKai (Japan)"
kingcasn "King of Casino (Japan)"
klax "Klax (Japan)"
knightrs "Knight Rider Special (Japan)"
knightrse "Knight Rider Special (Hack, English v2.0)"
ktiger "Kyuukyoku Tiger (Japan)"
kungfu "Kung Fu, The (Japan)"
kyukyom2 "Kyuukyoku Mahjong II (Japan)"
kyukyomj "Kyuukyoku Mahjong - Idol Graphics (Japan)"
ladyswrd "Lady Sword (Japan)"
ladyswrd1 "Lady Sword (Japan, Alt)"
ladyswrdeng "Lady Sword (Hack, English)"
ldrun "Lode Runner - Lost Labyrinth (Japan)"
loht "Legend of Hero Tonma (Japan)"
lostsunh "Bouken Danshaku Don - The Lost Sunheart (Japan)"
magchase "Magical Chase (Japan)"
mainurse "Mai Nurse (HB)"
makaihak "Makai Hakken Den Shada (Japan)"
makaihake "Makai Hakken Den Shada (Hack, English)"
makaipri "Makai Prince Dorabocchan (Japan)"
makyoden "Makyou Densetsu (Japan)"
maniacpw "Maniac Pro Wres - Asu e no Tatakai (Japan)"
marchen "Marchen Maze (Japan)"
mashwataru "Mashin Eiyuuden Wataru (Japan)"
