3ninmj "San-nin Mahjong (Japan, OMV)"
3ninmjt "San-nin Mahjong (Taiwan)"
aerial "Aerial (HB)"
antiair "AntiAir (HB)"
arnodash "Arno Dash (HB)"
arnodash2 "Arno Dash 2 (HB, v1.03)"
bankp "Bank Panic (Japan)"
bilidada "Bi Li Da Dao (Taiwan)"
blckonyx "Black Onyx, The (Japan)"
blckonyxe "Black Onyx, The (Hack, T-Eng)"
blckonyxee "Black Onyx Enhanced, The (Hack, T-Eng)"
bloktris "Bloktris (HB)"
bombjack "Bomb Jack (Japan)"
bombjackk1 "Bomb Jack (Korea)"
bombjackk2 "Bomb Jack (Korea, Alt)"
bombjackt1 "Bomb Jack (Taiwan)"
bombjackt2 "Chaoren (Taiwan)"
bombmnsp "Bomber Man Special (Taiwan)"
bordrlin "Borderline (Euro, Japan)"
cabkids "Cabbage Patch Kids (Taiwan)"
cacorm "Cacorm (HB)"
camknights "Camelot Knights (HB)"
castle "Castle, The (Japan)"
castlet "Mowang migong ~ Castle, The (Taiwan)"
chackn "Chack'n Pop (Japan)"
chackne "Chack'n Pop (Hack, English)"
chaldrby "Challenge Derby (Japan, OMV)"
chaldrbya "Challenge Derby (Japan, OMV, Alt)"
chaldrbyb "Challenge Derby (Japan, OMV, Hacked)"
champbas "Champion Baseball (Japan)"
champbasa "Champion Baseball (Japan, Older)"
champbast "Champion Baseball (Taiwan)"
champbil "Champion Billiards (Japan)"
champbox "Champion Boxing (Japan)"
champbox1 "Champion Boxing (Japan, MyCard)"
champboxt "Champion Boxing (Taiwan)"
champglf "Champion Golf (Japan)"
champglf1 "Champion Golf (Japan, MyCard)"
champglfk "Champion Golf (Korea)"
champice "Champion Ice Hockey (Japan)"
champicek "Champion Ice Hockey (Korea)"
champicet "Qugunqiu (Taiwan)"
champken "Champion Kendou (Japan)"
champkent "Jiandao (Taiwan)"
champpwr "Champion Pro Wrestling (Japan)"
champscr "Champion Soccer (Japan)"
champscrt "Champion Soccer (Taiwan)"
champtns "Champion Tennis (Japan)"
cheman "Che-Man (HB)"
cherilp "Cheril Perils Classic (HB)"
choplift "Choplifter (Japan)"
chopliftk "Choplifter (Korea)"
chopliftp "Choplifter (Japan, Prototype)"
chopliftt "Choplifter (Taiwan, no logo)"
circusc "Circus Charlie ~ Maxi Tuan (Taiwan)"
circusck "Circus Charlie (Korea)"
cloderun "Championship Lode Runner (Japan)"
cloderunt "Xun Bao Er Dai (Taiwan)"
congo "Congo Bongo (Euro, Japan, v1)"
congoa "Congo Bongo (Euro, Japan, v1 Alt)"
congob "Congo Bongo (Japan, v0)"
congot "Congo Bongo (Taiwan)"
cracky "Cracky (HB)"
crossbomber "Cross Bomber (HB)"
crosstrex "Cross TREX (HB)"
cso "C_So! (Japan)"
csot "Wanpi Gui (Taiwan)"
dacike "Yie Ar Kung-Fu II, Da Cike (Taiwan)"
dayu "Da Yu ~ Chack'n Pop"
dokidoki "Dokidoki Penguin Land (Japan)"
dragwang "Dragon Wang (Japan, v1)"
dragwang1 "Dragon Wang (Japan, v0)"
drol "Drol (Japan)"
drolk "Drol (Korea)"
drolt "Drol (Taiwan)"
elevator "Elevator Action (Japan)"
elevatort "Die Dui Die (Taiwan)"
exerion "Exerion (Euro, Japan)"
exerionk "Exerion (Korea)"
exeriont "Exerion (Taiwan)"
faguiqib "Fa Gui Qibing (Taiwan)"
faguiqiba "Fa Gui Qibing (Taiwan, Alt)"
feilang "Fei Lang ~ Choplifter (Taiwan)"
feilanga "Fei Lang ~ Choplifter (Taiwan, Alt)"
flicky "Flicky (Japan, v1)"
flickya "Flicky (Japan, v0)"
flickyt "Flicky (Taiwan)"
foryster "Foryster (HB, v00.9)"
galaga "Galaga (Taiwan)"
girlgard "Girl's Garden (Japan)"
girlgardt "Girl's Garden (Taiwan)"
golgo13 "Golgo 13 (Japan)"
gpworld "GP World (Japan, v1)"
gpworlda "GP World (Japan, v0)"
gpworldt "GP World (Taiwan)"
gulkave "Gulkave (Japan)"
gulkavek "Gulkave (Korea)"
guntus "Guntus (HB)"
guzzler "Guzzler (Japan, OMV)"
guzzlert "Guzzler (Taiwan)"
hangon2 "Hang-On II (Japan)"
hangon2t1 "Hang-On II (Taiwan)"
hangon2t2 "Motuo Feiche (Taiwan)"
heibaiqi "Hei Bai Qi (Taiwan)"
hero "H.E.R.O. (Japan)"
herot "Qing Feng Xia (Taiwan)"
homemj "Home Mahjong (Japan, v1)"
homemj1 "Home Mahjong (Japan, v0)"
homemjt "Yon-nin Mahjong (Taiwan)"
hopman "Hopman (HB)"
huohuli "Huo Hu Li ~ Zoom 909 (Taiwan)"
huojiche "Huojian Che (Taiwan)"
hustle "Hustle Chumy (Japan)"
hypersp2 "Hyper Sports 2 (Taiwan)"
hyperspt "Hyper Sports (Japan)"
hypersptk "Hyper Sports (Korea)"
hypersptt "Hyper Sports (Taiwan)"
iq "I.Q. (Korea)"
jb007 "007 James Bond (Japan, v2.7, OMV)"
jb007a "007 James Bond (Japan, v2.6, OMV)"
jb007t "007 James Bond (Taiwan)"
jetpaco "Jet Paco and Jet Puri (HB)"
jingwumn "Jing Wu Men (Taiwan)"
jingwumna "Jing Wu Men (Taiwan, Alt)"
jinzita "King's Valley, Jinzita (Taiwan)"
