acrush "Alien Crush (USA)"
advislnd "New Adventure Island (USA)"
aeroblst "Aero Blasters (USA)"
airzonk "Air Zonk (USA)"
ballistx "Ballistix (USA)"
batlroyl "Battle Royale (USA)"
blazlazr "Blazing Lazers (USA)"
blodwolf "Bloody Wolf (USA)"
bombman "Bomberman (USA)"
bombmn93 "Bomberman '93 (USA)"
bonk "Bonk's Adventure (USA)"
bonk2 "Bonk's Revenge (USA)"
bonk3 "Bonk III - Bonk's Big Adventure (USA)"
boxyboy "Boxyboy (USA)"
bravoman "Bravoman (USA)"
cadash "Cadash (USA)"
cdsys "cdsys"
chasehq "Taito Chase H.Q. (USA)"
chasehqnf "Taito Chase H.Q. - Noise Fix (Hack)"
chewman "Chew-Man-Fu (USA)"
chinawar "China Warrior (USA)"
cratermz "Cratermaze (USA)"
cybrcore "Cyber Core (USA)"
darkwing "Darkwing Duck (USA)"
daviscup "Davis Cup Tennis (USA)"
ddungw "Double Dungeons - W (USA)"
deadmoon "Dead Moon (USA)"
deepblue "Deep Blue (USA)"
devlcrsh "Devil's Crush - Naxat Pinball (USA)"
dragcrse "Dragon's Curse (USA)"
dropoff "Drop Off (USA)"
dspirit "Dragon Spirit (USA)"
dungexpl "Dungeon Explorer (USA)"
falcon "Falcon (USA)"
fantzone "Fantasy Zone (USA)"
finallap "Final Lap Twin (USA)"
forevbox "Champions Forever Boxing (USA)"
galaga90 "Galaga '90 (USA)"
ghostman "Ghost Manor (USA)"
griffon "Order of the Griffon (USA)"
gunboat "Gunboat (USA)"
hitice "Hit the Ice - VHL The Official Video Hockey League (USA)"
impossam "Impossamole (USA)"
jchan "Jackie Chan's Action Kung Fu (USA)"
jjnjeff "J.J. & Jeff (USA)"
keithcor "Keith Courage in Alpha Zones (USA)"
kingcasn "King of Casino (USA)"
klax "Klax (USA)"
legaxe "Legendary Axe, The (USA)"
legaxe2 "Legendary Axe II, The (USA)"
loht "Legend of Hero Tonma (USA)"
magchase "Magical Chase (USA)"
miltrymd "Military Madness (USA)"
motoroad "Moto Roader (USA)"
neutopi2 "Neutopia II (USA)"
neutopia "Neutopia (USA)"
nicklaus "Jack Nicklaus' Turbo Golf (USA)"
nightcr "Night Creatures (USA)"
nspirit "Ninja Spirit (USA)"
ordyne "Ordyne (USA)"
pacland "Pac-Land (USA)"
panzakb "Panza Kick Boxing (USA)"
parasol "Parasol Stars: The Story of Bubble Bobble III (USA)"
pgolf "Power Golf (USA)"
psychos "Psychosis (USA)"
raiden "Raiden (USA)"
rtype "R-Type (USA)"
rtypeplus "R-Type Plus (Hack)"
samuraig "Samurai-Ghost (USA)"
scdsys "scdsys"
sharrier "Space Harrier (USA)"
shockman "Shockman (USA)"
sidearms "Side Arms - Hyper Dyne (USA)"
silentd "Silent Debuggers (USA)"
sinistrn "Sinistron (USA)"
soldblad "Soldier Blade (USA)"
somerass "Somer Assault (USA)"
splatth "Splatterhouse (USA)"
sssoldr "Super Star Soldier (USA)"
svolley "Super Volleyball (USA)"
taknhoop "Takin' It to the Hoop (USA)"
talespin "TaleSpin (USA)"
tigerrod "Tiger Road (USA)"
timcrus "Time Cruise (USA)"
timeball "Timeball (USA)"
tricky "Tricky Kick (USA)"
turrican "Turrican (USA)"
tvbasket "TV Sports Basketball (USA)"
tvfootbl "TV Sports Football (USA)"
tvhockey "TV Sports Hockey (USA)"
veigues "Veigues - Tactical Gladiator (USA)"
victoryr "Victory Run (USA)"
vigilant "Vigilante (USA)"
wbeach "Sonic Spike: World Championship Beach Volleyball (USA)"
wcbasebl "World Class Baseball (USA)"
wctennis "World Court Tennis (USA)"
wscomp "World Sports Competition (USA)"
yobro "Yo, Bro (USA)"
